factor,rank_ic_mean,rank_ic_ir,rank_ic_positive_ratio,rank_ic_newey_t,pearson_ic_mean,pearson_ic_ir,n_days
excess_ret_1,-0.009492597290245635,-1.497520538225852,0.46385017421602787,-4.337457051137677,-0.0036030363688874098,-0.5617890166596055,2296
excess_ret_2,-0.013281257897370242,-2.045223525733057,0.4651567944250871,-4.504905903338786,-0.004455926870951839,-0.6787860749510469,2296
excess_ret_3,-0.01572724964814399,-2.3462129845089112,0.4420731707317073,-4.4160485361975725,-0.005952393154232305,-0.8739190334304443,2296
excess_ret_5,-0.016740072479205153,-2.3880969983065126,0.4520905923344948,-3.8701783567974464,-0.006724568335596566,-0.94488846193356,2296
excess_ret_10,-0.01624262110824218,-2.1584359329523286,0.45905923344947736,-3.170329752690524,-0.005504280225133189,-0.7299335048009435,2296
excess_ret_20,-0.01986414936019432,-2.4802667244484344,0.4490418118466899,-3.485022862668762,-0.010365809591183321,-1.2713782833978462,2296
excess_ret_60,-0.01042880665568027,-1.1177262619672748,0.4834494773519164,-1.525551832632207,-0.004831398396726927,-0.5363886872460183,2296
excess_ret_120,0.001188048094728645,0.12434832889764019,0.5113240418118467,0.16768231786933316,0.003963999960842161,0.43862039985491064,2296
scarcity,0.011942958573734239,2.788294387777573,0.5757839721254355,4.335736154831585,0.013213122748515976,2.620576747786225,2296
recent_volume_z_max_2_clip,-0.0052300119261543526,-1.2743608027302207,0.4564459930313589,-2.0464941298535955,0.0029563433158220943,0.7159822078275782,2296
price_strength_2,-0.014031730056571455,-2.1895587150276734,0.46297909407665505,-4.80105073201898,-0.0026018394805774844,-0.4225974024787746,2296
